cid,area,latitude,longitude
86355,801,52.521711,13.28527
1794,801,52.523771,13.284916
86353,801,52.521474,13.293471
83603,1107,52.497562,13.349898
13971,1107,52.497421,13.349953
329299,1107,52.497502,13.349456
165382,776,52.497303,13.349968
165397,801,52.497566,13.349581
67638,801,52.497603,13.349157
66385,776,52.498655,13.348107
329267,1107,52.497402,13.349918
169811,1107,52.497195,13.350105
165687,776,52.497415,13.3503
211234,801,52.52119,13.324485
87958,801,52.521099,13.324417
88435,801,52.521139,13.324424
231713,801,52.520788,13.323649
641,801,52.521769,13.323012
86374,801,52.520898,13.323971
86370,801,52.521681,13.322762
865,776,52.49768,13.350014
866,776,52.49734,13.350095
223009,776,52.497427,13.350031
1841,776,52.497405,13.349667
102771,1107,52.497381,13.349758
66882,801,52.497824,13.351096
165685,776,52.498362,13.350948